seed,pe,nll,rank,tied_for_lowest
17,learned,5.784423484335032,4.0,False
17,sinusoidal,6.862033230787713,5.0,False
17,rope,5.530509813708593,2.0,False
17,alibi,5.426962930956609,1.0,True
17,nope,5.645815011905282,3.0,False
42,learned,5.785249138869659,4.0,False
42,sinusoidal,6.9047254752619995,5.0,False
42,rope,5.531849518690397,2.0,False
42,alibi,5.434294166581262,1.0,True
42,nope,5.644183793401341,3.0,False
1234,learned,5.795017300708847,4.0,False
1234,sinusoidal,6.909362490876448,5.0,False
1234,rope,5.535121762419597,2.0,False
1234,alibi,5.431719984102948,1.0,True
1234,nope,5.647272957133146,3.0,False
2027,learned,5.804706208754081,4.0,False
2027,sinusoidal,6.869706707266733,5.0,False
2027,rope,5.542099601018075,2.0,False
2027,alibi,5.444655968285338,1.0,True
2027,nope,5.658119239528885,3.0,False
5003,learned,5.800145314544121,4.0,False
5003,sinusoidal,6.9243947880802486,5.0,False
5003,rope,5.5248864606136765,2.0,False
5003,alibi,5.432707995599835,1.0,True
5003,nope,5.6468481530722805,3.0,False
