split,pe,context,status,mean_nll,seed_sd_nll,documents
validation,learned,512,complete,5.705413918537298,0.009281291004598438,2130
validation,learned,1024,not_applicable,,,
validation,learned,2048,not_applicable,,,
test,learned,512,complete,5.6953588361430025,0.008488356033224773,2011
test,learned,1024,not_applicable,,,
test,learned,2048,not_applicable,,,
validation,sinusoidal,512,complete,6.817783385004549,0.02640709523457704,2130
validation,sinusoidal,1024,complete,9.124075732574923,0.2968866207616227,2130
validation,sinusoidal,2048,complete,9.159593138290813,0.2802626373377244,2130
test,sinusoidal,512,complete,6.809099979292933,0.026048895052003616,2011
test,sinusoidal,1024,complete,9.124982786022786,0.29846112939378555,2011
test,sinusoidal,2048,complete,9.162533336193983,0.2812128964950565,2011
validation,rope,512,complete,5.4363254287157075,0.004668836993205124,2130
validation,rope,1024,complete,5.642100319420514,0.014730617397014296,2130
validation,rope,2048,complete,5.668455996776957,0.013854869979771997,2130
test,rope,512,complete,5.423573521869605,0.005545084684056422,2011
test,rope,1024,complete,5.630694807231874,0.015367583039060629,2011
test,rope,2048,complete,5.657438083369575,0.01438157991581083,2011
validation,alibi,512,complete,5.331335074692668,0.004131895582578295,2130
validation,alibi,1024,complete,5.330811649021589,0.004163327498730634,2130
validation,alibi,2048,complete,5.330776168055327,0.0041762116272267835,2130
test,alibi,512,complete,5.317614261754387,0.004402590467842601,2011
test,alibi,1024,complete,5.317128962514555,0.004439874808949148,2011
test,alibi,2048,complete,5.31710089217493,0.0044530416697309005,2011
validation,nope,512,complete,5.55655163535827,0.004695929279317909,2130
validation,nope,1024,complete,5.564907788573639,0.004663441884249943,2130
validation,nope,2048,complete,5.574643208912214,0.004530464092478964,2130
test,nope,512,complete,5.545430662979335,0.004923545379436853,2011
test,nope,1024,complete,5.553811937343151,0.004801015302256067,2011
test,nope,2048,complete,5.564393301592231,0.004527892324775227,2011
